rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-admbuster_1000.apx,complete,10,296.282,294.85,279.96,14.89,138.4,complete,296.282,296.282
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-admbuster_2000.apx,complete,10,122.603,121.28,120.87,0.41,247,complete,122.603,122.603
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08.apx,outof time,143,1201.346,1200.78,1198.87,1.91,536.5,outof time,8000,1600
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06.apx,complete,10,331.809,330.47,313.49,16.98,161.4,complete,331.809,331.809
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08.apx,complete,10,1.62,1.23,0.83,0.4,28.5,complete,1.62,1.62
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-BA_100_20_1.apx,complete,10,2.59,2.23,1.47,0.76,28.3,complete,2.59,2.59
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-BA_120_20_2.apx,complete,10,2.859,2.49,1.71,0.78,28.5,complete,2.859,2.859
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-BA_40_30_3.apx,complete,10,1.481,1.08,0.72,0.36,26.5,complete,1.481,1.481
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-BA_40_60_2.apx,complete,10,1.357,1.11,0.77,0.34,26.7,complete,1.357,1.357
depqbf-blo.bash,wf.gc.pyqasp.depqbf-blo.bash,ADFcoherence,B-1-BA_40_80_4.apx,complete,10,1.547,1.21,0.8,0.41,26.5,complete,1.547,1.547
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf.apx,outof time,143,1201.098,1200.83,1196.59,4.24,204.1,outof time,8000,1600
rareqs.bash,wf.pyqasp.rareqs.bash,ADFcoherence,B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf.apx,complete,10,18.004,17.25,17.11,0.14,47.2,complete,18.004,18.004
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-grd_156_3_6.apx,outof time,143,1200.459,1200.2,1196.96,3.24,146.1,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-grd_1892_1_3.apx,outof time,143,1201.182,1200.68,1199,1.68,639.5,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-grd_1948_5_1.apx,outof time,143,1201.675,1200.48,1196.52,3.96,2653,outof time,8000,1600
quabs.bash,wf.pyqasp.quabs.bash,ADFcoherence,B-1-grd_3018_3_7.apx,outof time,143,1202.184,1201.06,1198.81,2.25,484.4,outof time,8000,1600
