backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b05_PR_1_75.qdimacs.ch.aspq,complete,0,2.106,1.77,1.61,0.16,122.7,complete,2.106,2.106
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b14_PR_3_10.qdimacs.ch.aspq,complete,0,104.759,103.22,94.92,8.3,527.8,complete,104.759,104.759
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b15_PR_1_90.qdimacs.ch.aspq,complete,0,471.537,468.56,454.32,14.24,853.7,complete,471.537,471.537
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b15_PR_8_75.qdimacs.ch.aspq,outof time,143,1203.763,1200.91,1182.1,18.81,886.6,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b17_PR_0_2.qdimacs.ch.aspq,complete,0,844.194,841.35,817.9,23.45,924.7,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b17_PR_4_90.qdimacs.ch.aspq,complete,0,808.357,805.74,786.52,19.22,915.3,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b17_PR_7_75.qdimacs.ch.aspq,complete,0,793.713,789.83,769.88,19.95,915.4,complete,793.713,793.713
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b18_PR_1_20.qdimacs.ch.aspq,outof time,143,1202.007,1200.37,1183.84,16.53,1271.4,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b20_PR_0_20.qdimacs.ch.aspq,outof time,143,1202.297,1200.1,1189.55,10.55,599.7,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b20_PR_2_2.qdimacs.ch.aspq,outof time,143,1202.1,1200.04,1188.75,11.29,630.5,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b20_PR_8_2.qdimacs.ch.aspq,complete,0,274.375,271.28,260.98,10.3,647.6,complete,274.375,274.375
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b21_PR_0_75.qdimacs.ch.aspq,outof time,143,1200.908,1200.06,1190.49,9.57,584,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,b21_PR_7_2.qdimacs.ch.aspq,outof time,143,1201.637,1200.18,1189.6,10.58,588.4,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-008.qdimacs.ch.aspq,complete,0,1005.168,997.64,969.17,28.47,1101.5,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008.qdimacs.ch.aspq,complete,0,536.468,533.87,520.39,13.48,889.2,complete,536.468,536.468
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008.qdimacs.ch.aspq,complete,0,288.066,284.11,271.08,13.03,816.1,complete,288.066,288.066
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-010.qdimacs.ch.aspq,outof time,143,1205.496,1200.75,1169.8,30.95,1163,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-010.qdimacs.ch.aspq,outof time,143,1210.085,1200.75,1172.35,28.4,1663.7,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-006.qdimacs.ch.aspq,complete,0,91.137,87.35,79.25,8.1,587.2,complete,91.137,91.137
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-006.qdimacs.ch.aspq,complete,0,383.342,377.23,357.46,19.77,845.6,complete,383.342,383.342
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005.qdimacs.ch.aspq,complete,0,55.287,52.92,48.91,4.01,497.2,complete,55.287,55.287
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003.qdimacs.ch.aspq,complete,0,21.371,19.17,14.32,4.85,210.7,complete,21.371,21.371
