backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#20.asp.stunst,complete,10,8.864,8.27,8.15,0.12,16.2,complete,8.864,8.864
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#21.asp.stunst,complete,10,15.311,14.75,14.54,0.21,16.1,complete,15.311,15.311
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#22.asp.stunst,complete,10,3.18,2.92,2.9,0.02,15.5,complete,3.18,3.18
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#23.asp.stunst,complete,10,104.898,103.83,102.81,1.02,18.4,complete,104.898,104.898
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#24.asp.stunst,complete,10,0.103,0,0,0,0,complete,0.103,0.103
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#25.asp.stunst,complete,10,2.707,2.45,2.42,0.03,15,complete,2.707,2.707
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#26.asp.stunst,complete,10,3.413,3.15,3.12,0.03,15.4,complete,3.413,3.413
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#27.asp.stunst,complete,10,0.104,0,0,0,0,complete,0.104,0.104
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#28.asp.stunst,complete,10,3.936,3.68,3.63,0.05,15.7,complete,3.936,3.936
stable-unstable.qbf.bash,stable-unstable.qbf.bash,iclp23.ci-s-32-E-36-36-1-A-18-18-1-c-72-198-4-w-1-3-2,ci.e#1.a#3.E#36.A#18.c#112.w#1.s#29.asp.stunst,complete,10,20.782,20.22,20.05,0.17,16.6,complete,20.782,20.782
